as_of_date,cumulative_satellites,checkpoint_type,note,source,source_url
2025-04-28,0,deployment_start_marker,"Full-scale deployment began with the first launch of production-grade satellites on 2025-04-28 (used only as the elapsed-time reference point for the unlaunched-inventory model, not an observed count)",GeekWire,https://www.geekwire.com/2026/amazon-leo-double-pace-roll-out-satellite-broadband/
2026-04-29,250,observed,"Per Amazon CEO Andy Jassy on Amazon's Q1 2026 earnings call: 'over 250 satellites in space'",Motley Fool Q1 2026 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2026/04/29/amazon-amzn-q1-2026-earnings-call-transcript/
2026-05-14,304,observed,"Per GeekWire: 304 satellites deployed over 11 launches as of this article's publish date",GeekWire,https://www.geekwire.com/2026/amazon-leo-double-pace-roll-out-satellite-broadband/
2026-07-02,396,observed,"Per Amazon's own progress-update page, following the LA-08 mission",About Amazon,https://www.aboutamazon.com/news/innovation-at-amazon/project-kuiper-satellite-rocket-launch-progress-updates
2026-07-30,700,company_projected,"Amazon's own stated expectation in its Jan 2026 FCC extension-request filing -- a company projection, not an observed count",GeekWire,https://www.geekwire.com/2026/amazon-leo-fcc-extension-request/
